SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,FACE VALUE,Index,BSE_Security_Code,Listed_Company_Name,Ticker_Symbol,Official_Issuer_Name,Listing_Status,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,Instrument,ISIN
,,,,,,,364,503804,Shri Dinesh Mills Ltd.,SHRIDINE,Shri Dinesh Mills Ltd-$,Active,X ,10.0,INE204C01024,Equity,,,,,
,,,,,,,365,503806,SRF Ltd.,SRF,SRF Ltd,Active,A ,10.0,INE647A01010,Equity,,,,,
,,,,,,,366,503811,Siyaram Silk Mills Ltd.,SIYSIL,Siyaram Silk Mills Ltd-$,Active,B ,2.0,INE076B01028,Equity,,,,,
,,,,,,,367,503816,Swadeshi Polytex Ltd.,SWADPOL,Swadeshi Polytex Ltd,Active,X ,1.0,INE243N01029,Equity,,,,,
,,,,,,,368,503837,Shree Rajasthan Syntex Ltd.,SHRAJSYNQ,Shree Rajasthan Syntex Ltd-$,Active,XT,10.0,INE796C01011,Equity,,,,,
,,,,,,,369,503863,Shree Manufacturing Co. Ltd.,SHRMFGC,Shree Manufacturing Company Ltd,Active,XT,10.0,INE632A01012,Equity,,,,,
,,,,,,,370,503893,Satyam Silk Mills Ltd,ZSATYASL,Satyam Silk Mills Ltd,Active,XT,10.0,INE07MC01015,Equity,,,,,
,,,,,,,371,503960,Bharat Bijlee Ltd.,BBL,Bharat Bijlee Ltd-$,Active,A ,5.0,INE464A01036,Equity,,,,,
,,,,,,,372,504000,Elpro International Ltd.,ELPROINTL,Elpro International Ltd,Active,B ,1.0,INE579B01039,Equity,,,,,
,,,,,,,373,504028,GEE Ltd.,GEE,GEE Ltd,Active,X ,2.0,INE064H01021,Equity,,,,,
,,,,,,,374,504036,Hind Rectifiers Ltd.,HIRECT,Hind Rectifiers Ltd,Active,B ,2.0,INE835D01023,Equity,,,,,
,,,,,,,375,504058,Indo National Limited,NIPPOBATRY,Indo National Ltd,Active,B ,5.0,INE567A01028,Equity,,,,,
,,,,,,,376,504067,Zensar Technologies Ltd.,ZENSARTECH,Zensar Technologies Ltd,Active,A ,2.0,INE520A01027,Equity,,,,,
,,,,,,,377,504076,Jyoti Ltd.,JYOTI,Jyoti Ltd-$,Active,X ,10.0,INE511D01012,Equity,,,,,
,,,,,,,378,504080,JSL Industries Ltd.,JSLINDL,JSL Industries Ltd,Active,X ,10.0,INE581L01018,Equity,,,,,
,,,,,,,379,504084,Kaycee Industries Ltd.,KAYCEEI,Kaycee Industries Ltd,Active,X ,10.0,INE813G01023,Equity,,,,,
,,,,,,,380,504092,Indokem Ltd,INDOKEM,Indokem Ltd,Active,XT,10.0,INE716F01012,Equity,,,,,
,,,,,,,381,504093,Panasonic Energy India Co. Ltd.,PANAENERG,Panasonic Energy India Company Ltd-$,Active,X ,10.0,INE795A01017,Equity,,,,,
,,,,,,,382,504112,Nelco Ltd,NELCO,Nelco Ltd,Active,B ,10.0,INE045B01015,Equity,,,,,
,,,,,,,383,504132,Permanent Magnets Ltd.,PERMAGN,Permanent Magnets Ltd-$,Active,X ,10.0,INE418E01018,Equity,,,,,
,,,,,,,384,504176,High Energy Batteries (India) Ltd.,HIGHENE,High Energy Batteries India Ltd,Active,X ,2.0,INE783E01023,Equity,,,,,
,,,,,,,385,504180,Standard Batteries Ltd.,STDBAT,Standard Batteries Ltd,Active,X ,1.0,INE502C01039,Equity,,,,,
,,,,,,,386,504212,Universal Cables Ltd.,UNIVCABLES,Universal Cables Ltd,Active,B ,10.0,INE279A01012,Equity,,,,,
,,,,,,,387,504220,W.S. Industries (India) Ltd.,WSI,W. S. Industries (India) Ltd-$,Active,B ,10.0,INE100D01014,Equity,,,,,
,,,,,,,388,504240,Delton Cables Ltd.,DLTNCBL,Delton Cables Ltd,Active,X ,10.0,INE872E01016,Equity,,,,,
,,,,,,,389,504258,Lakshmi Electrical Control Systems,LAKSELEC,Lakshmi Electrical Control Systems Ltd,Active,X ,10.0,INE284C01018,Equity,,,,,
,,,,,,,390,504273,MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,MODULEX,Modulex Construction Technologies Ltd,Active,Z ,10.0,INE064R01012,Equity,,,,,
,,,,,,,391,504286,DELTA MANUFACTURING LIMITED ,DELTAMAGNT,Delta Manufacturing Ltd,Active,B ,10.0,INE393A01011,Equity,,,,,
,,,,,,,392,504340,Longspur International Ventures Limited,LONGSPUR,Longspur International Ventures Ltd,Active,X ,10.0,INE180M01033,Equity,,,,,
,,,,,,,393,504341,RAVINDRA ENERGY LIMITED,RELTD,Ravindra Energy Ltd,Active,B ,10.0,INE206N01018,Equity,,,,,
,,,,,,,394,504346,RRP SEMICONDUCTOR LIMITED,RRP,RRP Semiconductor Ltd,Active,X ,10.0,INE713N01013,Equity,,,,,
,,,,,,,395,504351,Empower India Limited,EMPOWER,Empower India Ltd,Active,XT,1.0,INE507F01023,Equity,,,,,
,,,,,,,396,504356,Multipurpose Trading & Agencies Ltd,ZMULTIPU,Multipurpose Trading & Agencies Ltd,Active,XT,10.0,INE017P01014,Equity,,,,,
,,,,,,,397,504365,Ridhi Synthetics Ltd.,RIDHISYN,Ridhi Synthetics Ltd,Active,XT,10.0,INE07LK01010,Equity,,,,,
,,,,,,,398,504369,Grandma Trading & Agencies Ltd.,GRANDMA,Grandma Trading & Agencies Ltd ,Active,X ,1.0,INE927M01029,Equity,,,,,
,,,,,,,399,504370,Ardi Investment & Trading Ltd.,ZARDIINV,Ardi Investments & Trading Company Ltd,Active,XT,10.0,INE0LKP01014,Equity,,,,,
,,,,,,,400,504378,Nyssa Corporation Limited,NYSSACORP,Nyssa Corporation Ltd,Active,XT,1.0,INE812K01027,Equity,,,,,
,,,,,,,401,504380,FLOMIC GLOBAL LOGISTICS LIMITED,FLOMIC,Flomic Global Logistics Ltd,Active,X ,10.0,INE952M01019,Equity,,,,,
,,,,,,,402,504392,Krishna Ventures Limited,KRISHNA,Krishna Ventures Ltd,Active,XT,10.0,INE537L01010,Equity,,,,,
,,,,,,,403,504397,Ganesh Holding Ltd.,GANHOLD,Ganesh Holdings Ltd,Active,XT,10.0,INE932M01011,Equity,,,,,
,,,,,,,404,504398,SJ Corporation Limited,SJCORP,SJ Corporation Ltd,Active,XT,1.0,INE312B01027,Equity,,,,,
,,,,,,,405,504605,Uni-Abex Alloy Products Ltd.,UNIABEXAL,Uni Abex Alloy Products Ltd,Active,X ,10.0,INE361D01012,Equity,,,,,
,,,,,,,406,504614,Sarda Energy & Minerals Ltd,SARDAEN,Sarda Energy & Minerals Ltd-$,Active,A ,1.0,INE385C01021,Equity,,,,,
,,,,,,,407,504646,Bhagwati Autocast Limited,BGWTATO,Bhagwati Autocast Ltd,Active,X ,10.0,INE106G01014,Equity,,,,,
,,,,,,,408,504648,Bombay Wire Ropes Ltd.,BOMBWIR,Bombay Wire Ropes Ltd,Active,X ,1.0,INE089T01023,Equity,,,,,
,,,,,,,409,504671,Chase Bright Steel Co. Ltd.,CHASBRT,Chase Bright Steel Ltd,Active,Y ,10.0,NA          ,Equity,,,,,
,,,,,,,410,504697,Galada Power & Communication Ltd.,GALADA,Galada Power & Telecommunication Ltd,Active,XT,10.0,INE255C01026,Equity,,,,,
,,,,,,,411,504731,AZAD INDIA MOBILITY LIMITED,AZADIND,Azad India Mobility Ltd,Active,X ,10.0,INE566M01017,Equity,,,,,
,,,,,,,412,504741,Indian Hume Pipe Co. Ltd.,INDIANHUME,Indian Hume Pipe Company Ltd,Active,B ,2.0,INE323C01030,Equity,,,,,
,,,,,,,413,504746,Indian Link Chain Mnfrs. Ltd.,INLCM,Indian Link Chain Manufacturers Ltd,Active,XT,10.0,INE359D01024,Equity,,,,,
,,,,,,,414,504786,Investment & Precision Castings Ltd,INVPRECQ,Investment & Precision Castings Ltd,Active,X ,10.0,INE155E01016,Equity,,,,,
,,,,,,,415,504810,Informed Technologies India Ltd.,INFORTEC,Informed Technologies India Ltd,Active,X ,10.0,INE123E01014,Equity,,,,,
,,,,,,,416,504840,Kaira Can Co. Ltd.,KAIRA,Kaira Can Company Ltd,Active,X ,10.0,INE375D01012,Equity,,,,,
,,,,,,,417,504879,ORIENT CERATECH LIMITED,ORIENTCER,Orient Ceratech Ltd-$,Active,B ,1.0,INE569C01020,Equity,,,,,
,,,,,,,418,504882,National Standard (India) Limited,NATIONSTD,National Standard (India) Ltd,Active,B ,10.0,INE166R01015,Equity,,,,,
,,,,,,,419,504903,Rathi Steel & Power Ltd,RATHIST,Rathi Steel & Power Ltd-$,Active,X ,10.0,INE336C01016,Equity,,,,,
,,,,,,,420,504908,Duncan Engineering Limited,DUNCANENG,Duncan Engineering Ltd-$,Active,X ,10.0,INE340F01011,Equity,,,,,
,,,,,,,421,504918,Sandur Manganese & Iron Ores Ltd.,SANDUMA,Sandur Manganese & Iron Ores Ltd,Active,B ,10.0,INE149K01016,Equity,,,,,
,,,,,,,422,504959,Stovec Industries Ltd.,STOVACQ,Stovec Industries Ltd,Active,X ,10.0,INE755D01015,Equity,,,,,
,,,,,,,423,504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.0,INE149A01033,Equity,,,,,
,,,,,,,424,504988,Welcast Steels Ltd.,ZWELCAST,Welcast Steels Ltd,Active,X ,10.0,INE380G01015,Equity,,,,,
,,,,,,,425,504998,Western Ministil Ltd.,WMINIMT,Western Ministil Ltd,Active,P ,10.0,INE187U01015,Equity,,,,,
,,,,,,,426,505010,Automotive Axles Ltd.,AUTOAXLES,Automotive Axles Ltd,Active,B ,10.0,INE449A01011,Equity,,,,,
,,,,,,,427,505029,Atlas Cycles (Haryana) Ltd.,ATLASCYCLE,Atlas Cycles (Haryana) Ltd,Active,B ,5.0,INE446A01025,Equity,,,,,
,,,,,,,428,505032,Automobile Products of India Ltd.,AUTOPRD,Automobile Products of India Ltd,Active,XT,1.0,INE0NY101012,Equity,,,,,
,,,,,,,429,505036,Automobile Corpn. of Goa Ltd.,ACGL,Automobile Corporation of Goa Ltd-$,Active,B ,10.0,INE451C01013,Equity,,,,,
,,,,,,,430,505075,Setco Automotive Limited,SETCO,Setco Automotive Ltd,Active,B ,2.0,INE878E01021,Equity,,,,,
,,,,,,,431,505100,India Radiators Ltd.,INRADIA,India Radiators Ltd,Active,XT,10.0,INE461Y01016,Equity,,,,,
,,,,,,,432,505160,Talbros Automotive Components Ltd.,TALBROAUTO,Talbros Automotive Components Ltd,Active,B ,2.0,INE187D01029,Equity,,,,,
,,,,,,,433,505163,Z.F. Steering Gear (India) Limited,ZFSTEERING,ZF Steering Gear India Ltd-$,Active,B ,10.0,INE116C01012,Equity,,,,,
,,,,,,,434,505192,SML Mahindra Limited,SMLMAH,SML Mahindra Ltd,Active,B ,10.0,INE294B01019,Equity,,,,,
,,,,,,,435,505196,TIL Ltd.,TIL,TIL Ltd,Active,B ,10.0,INE806C01018,Equity,,,,,
,,,,,,,436,505200,Eicher Motors Ltd.,EICHERMOT,Eicher Motors Ltd,Active,A ,1.0,INE066A01021,Equity,,,,,
,,,,,,,437,505212,JAINEX AAMCOL LTD.,JAINEX,Jainex Aamcol Ltd,Active,X ,10.0,INE280F01019,Equity,,,,,
,,,,,,,438,505216,Alfred Herbert (India) Ltd.,ALFREDHE,Alfred Herbert India Ltd,Active,X ,10.0,INE782D01027,Equity,,,,,
,,,,,,,439,505232,Veljan Denison Limited,VELJAN,Veljan Denison Ltd,Active,X ,10.0,INE232E01013,Equity,,,,,
,,,,,,,440,505242,Dynamatic Technologies Ltd.,DYNAMATECH,Dynamatic Technologies Ltd-$,Active,B ,10.0,INE221B01012,Equity,,,,,
,,,,,,,441,505250,G. G. Dandekar Properties Limited,GGDPROP,G. G. Dandekar Properties Ltd,Active,X ,1.0,INE631D01026,Equity,,,,,
,,,,,,,442,505255,GMM Pfaudler Ltd.,GMMPFAUDLR,GMM Pfaudler Ltd,Active,A ,2.0,INE541A01023,Equity,,,,,
,,,,,,,443,505283,Kirloskar Pneumatic Co.Ltd.,KIRLPNU,Kirloskar Pneumatic Company Ltd,Active,A ,2.0,INE811A01020,Equity,,,,,
,,,,,,,444,505285,Tulive Developers Limited,TULIVE,Tulive Developers Ltd,Active,XT,10.0,INE637D01015,Equity,,,,,
,,,,,,,445,505299,KPT INDUSTRIES LIMITED,KPT,KPT Industries Ltd,Active,X ,5.0,INE731D01024,Equity,,,,,
,,,,,,,446,505302,LAKSHMI ENGINEERING AND WAREHOUSING LIMITED,LAKSHMIEW,Lakshmi Engineering And Warehousing Ltd,Active,X ,100.0,INE718M01022,Equity,,,,,
,,,,,,,447,505320,Lynx Machinery & Commercials Ltd.,LYNMC,Lynx Machinery & Commercials Ltd,Active,XT,10.0,INE732D01014,Equity,,,,,
,,,,,,,448,505324,Manugraph India Ltd,MANUGRAPH,Manugraph India Ltd-$,Active,B ,2.0,INE867A01022,Equity,,,,,
,,,,,,,449,505336,HARSHIL AGROTECH LIMITED,HARSHILAGR,Harshil Agrotech Ltd,Active,X ,1.0,INE098E01026,Equity,,,,,
,,,,,,,450,505343,Monotype India Ltd.,MONOT,Monotype India Ltd ,Active,X ,1.0,INE811D01024,Equity,,,,,
,,,,,,,451,505355,Nesco Ltd,NESCO,NESCO Ltd,Active,B ,2.0,INE317F01035,Equity,,,,,
,,,,,,,452,505358,Integra Engineering India Ltd.,INTEGRAEN,Integra Engineering India Ltd,Active,X ,1.0,INE984B01023,Equity,,,,,
,,,,,,,453,505368,Semac Construction Limited,SEMAC,Semac Construction Ltd-$,Active,B ,10.0,INE617A01013,Equity,,,,,
,,,,,,,454,505400,Texmaco Infrastructure & Holdings Ltd,TEXINFRA,Texmaco Infrastructure & Holdings Ltd,Active,B ,1.0,INE435C01024,Equity,,,,,
,,,,,,,455,505412,Wendt (India) Ltd.,WENDT,Wendt (India) Ltd,Active,B ,10.0,INE274C01019,Equity,,,,,
,,,,,,,456,505502,PS IT Infrastructure & Services Limited,PSITINFRA,PS IT Infrastructure & Services Ltd,Active,X ,10.0,INE953M01033,Equity,,,,,
,,,,,,,457,505504,GHV INFRA PROJECTS LIMITED,GHVINFRA,GHV Infra Projects Ltd,Active,XT,5.0,INE809Q01020,Equity,,,,,
,,,,,,,458,505509,Responsive Industries Ltd,RESPONIND,Responsive Industries Ltd,Active,B ,1.0,INE688D01026,Equity,,,,,
,,,,,,,459,505515,Shyamkamal Investments Ltd.,SHYMINV,Shyamkamal Investments Ltd ,Active,X ,10.0,INE203N01015,Equity,,,,,
,,,,,,,460,505520,HEM Holdings and Trading Ltd.,ZHEMHOLD,Hem Holdings & Trading Ltd,Active,XT,10.0,INE721U01011,Equity,,,,,
,,,,,,,461,505523,Maharashtra Corporation Ltd.,MAHACORP,Maharashtra Corporation Ltd,Active,X ,1.0,INE272E01027,Equity,,,,,
,,,,,,,462,505526,DOLAT ALGOTECH LIMITED,DOLATALGO,Dolat Algotech Ltd,Active,B ,1.0,INE966A01022,Equity,,,,,
,,,,,,,463,505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,Westlife Foodworld Ltd,Active,A ,2.0,INE274F01020,Equity,,,,,
,,,,,,,464,505537,Zee Entertainment Enterprises Ltd.,ZEEL,Zee Entertainment Enterprises Ltd,Active,A ,1.0,INE256A01028,Equity,,,,,
,,,,,,,465,505585,Kovalam Inv. & Trading Co.Ltd.,ZKOVALIN,Kovalam Investment & Trading Company Ltd ,Active,X ,10.0,INE735U01011,Equity,,,,,
,,,,,,,466,505590,SVP GLOBAL TEXTILES LIMITED,SVPGLOB,SVP Global Textiles Ltd,Active,T ,1.0,INE308E01029,Equity,,,,,
,,,,,,,467,505594,Multiplus Holdings Ltd.,MULTIIN,Multiplus Holdings Ltd,Active,XT,10.0,INE886E01016,Equity,,,,,
,,,,,,,468,505650,Skyline Millars Ltd,SKYLMILAR,Skyline Millars Ltd,Active,X ,1.0,INE178E01026,Equity,,,,,
,,,,,,,469,505681,Bimetal Bearings Ltd,BIMETAL,Bimetal Bearings Ltd-$,Active,X ,10.0,INE469A01019,Equity,,,,,
,,,,,,,470,505685,Taparia Tools Ltd.,TAPARIA,Taparia Tools Ltd,Active,X ,10.0,INE614R01014,Equity,,,,,
,,,,,,,471,505688,Bharat Gears Ltd.,BHARATGEAR,Bharat Gears Ltd,Active,B ,10.0,INE561C01019,Equity,,,,,
,,,,,,,472,505690,Brady & Morris Engineering Co. Ltd.,BRADYM,Brady & Morris Engineering Company Ltd,Active,X ,10.0,INE856A01017,Equity,,,,,
,,,,,,,473,505693,La Tim Metal & Industries Limited,LATIMMETAL,La Tim Metal & Industries Ltd,Active,X ,1.0,INE501N01020,Equity,,,,,
,,,,,,,474,505700,Elecon Engineering Co.Ltd.,ELECON,Elecon Engineering Company Ltd,Active,A ,1.0,INE205B01031,Equity,,,,,
,,,,,,,475,505703,Deccan Bearings Ltd.,DECANBRG,Deccan Bearings Ltd,Active,XT,10.0,INE498D01012,Equity,,,,,
,,,,,,,476,505710,Grauer & Weil (India) Ltd.,GRAUWEIL,Grauer & Weil India Ltd-$,Active,B ,1.0,INE266D01021,Equity,,,,,
,,,,,,,477,505712,HIM TEKNOFORGE LIMITED,HIMTEK,Him Teknoforge Ltd,Active,X ,2.0,INE705G01021,Equity,,,,,
,,,,,,,478,505714,Gabriel India Ltd.,GABRIEL,Gabriel India Ltd-$,Active,A ,1.0,INE524A01029,Equity,,,,,
,,,,,,,479,505720,Hercules Investments Limited,HERCULES,Hercules Investments Ltd,Active,B ,1.0,INE688E01024,Equity,,,,,
,,,,,,,480,505725,ALGOQUANT FINTECH LIMITED,ALGOQUANT,Algoquant Fintech Ltd,Active,B ,1.0,INE598D01035,Equity,,,,,
,,,,,,,481,505726,IFB Industries Limited,IFBIND,IFB Industries Ltd,Active,B ,10.0,INE559A01017,Equity,,,,,
,,,,,,,482,505729,Singer India Limited,SINGER,Singer India Ltd,Active,X ,2.0,INE638A01035,Equity,,,,,
,,,,,,,483,505737,International Combustion (India) Lt,INTLCOMBQ,International Combustion India Ltd,Active,X ,10.0,INE403C01014,Equity,,,,,
,,,,,,,484,505744,Federal-Mogul Goetze (India) Ltd,FMGOETZE,Federal-Mogul Goetze (India) Ltd,Active,B ,10.0,INE529A01010,Equity,,,,,
,,,,,,,485,505750,Josts Engineering Co. Ltd.,JOSTS,Josts Engineering Company Ltd,Active,X ,1.0,INE636D01041,Equity,,,,,
,,,,,,,486,505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,2.0,INE513A01022,Equity,,,,,
,,,,,,,487,505797,Mipco Seamless Rings (Gujarat) Ltd.,MPCOSEMB,Mipco Seamless Rings Gujarat Ltd,Active,XT,10.0,INE860N01012,Equity,,,,,
,,,,,,,488,505800,Rane Holdings Ltd.,RANEHOLDIN,Rane Holdings Ltd,Active,B ,10.0,INE384A01010,Equity,,,,,
,,,,,,,489,505807,Rolcon Engineering Co. Ltd.,ROLCOEN,Rolcon Engineering Company Ltd,Active,P ,10.0,INE775R01013,Equity,,,,,
,,,,,,,490,505827,SNL Bearings Ltd.,SNL,SNL Bearings Ltd,Active,X ,10.0,INE568F01017,Equity,,,,,
,,,,,,,491,505840,Jaipan Industries Ltd,JAIPAN,Jaipan Industries Ltd,Active,X ,10.0,INE058D01030,Equity,,,,,
,,,,,,,492,505850,Mangal Credit and Fincorp Limited,MANCREDIT,Mangal Credit and Fincorp Ltd,Active,B ,10.0,INE545L01039,Equity,,,,,
,,,,,,,493,505854,TRF Ltd,TRF,TRF Ltd-$,Active,B ,10.0,INE391D01019,Equity,,,,,
,,,,,,,494,505872,WPIL Ltd,WPIL,WPIL Ltd,Active,B ,1.0,INE765D01022,Equity,,,,,
,,,,,,,495,505890,Kennametal India Limtied,KENNAMET,Kennametal India Ltd-$,Active,B ,10.0,INE717A01029,Equity,,,,,
,,,,,,,496,505893,HINDUSTAN HARDY LIMITED,HINDHARD,Hindustan Hardy Ltd,Active,X ,10.0,INE724D01011,Equity,,,,,
,,,,,,,497,505978,Triton Valves Ltd.,TRITONV,Triton Valves Ltd,Active,X ,10.0,INE440G01017,Equity,,,,,
,,,,,,,498,506003,Sudal Industries Limited,SUDAI,Sudal Industries Ltd,Active,X ,10.0,INE618D01015,Equity,,,,,
,,,,,,,499,506022,Prakash Industries Ltd.,PRAKASH,Prakash Industries Ltd,Active,B ,10.0,INE603A01013,Equity,,,,,
,,,,,,,500,506024,HARIYANA VENTURES LIMITED,HVL,Hariyana Ventures Ltd,Active,ZP,10.0,INE219D01012,Equity,,,,,
,,,,,,,501,506042,Prabhu Steel Industries Ltd.,ZPRBHSTE,Prabhu Steel Industries Ltd,Active,XT,10.0,INE821R01015,Equity,,,,,
,,,,,,,502,506074,Arshiya Limited,ARSHIYA,Arshiya Ltd,Active,Z ,2.0,INE968D01022,Equity,,,,,
,,,,,,,503,506076,Grindwell Norton Ltd.,GRINDWELL,Grindwell Norton Ltd-$,Active,A ,5.0,INE536A01023,Equity,,,,,
,,,,,,,504,506079,Lakshmi Precision Screws Ltd.,LAKPRE,Lakshmi Precision Screws Ltd,Active,Z ,10.0,INE651C01018,Equity,,,,,
,,,,,,,505,506105,Stanrose Mafatlal Investments & Fin,STANROS,Stanrose Mafatlal Investments & Finance Ltd,Active,X ,10.0,INE441L01015,Equity,,,,,
,,,,,,,506,506109,Genesys International Corporation Ltd.,GENESYS,Genesys International Corporation Ltd,Active,B ,5.0,INE727B01026,Equity,,,,,
,,,,,,,507,506120,Alna Trading & Exports Ltd.,ALNATRD,Alna Trading & Exports Ltd,Active,P ,10.0,INE07I701011,Equity,,,,,
,,,,,,,508,506122,Kairosoft AI Solutions Limited,VOLKAI,Kairosoft AI Solutions Ltd,Active,X ,10.0,INE820M01018,Equity,,,,,
,,,,,,,509,506128,Parnax Lab Limited,PARNAXLAB,Parnax Lab Ltd,Active,X ,10.0,INE383L01019,Equity,,,,,
,,,,,,,510,506134,GOURMET GATEWAY INDIA LIMITED,GOURMET,Gourmet Gateway India Ltd,Active,X ,1.0,INE512D01028,Equity,,,,,
,,,,,,,511,506146,Visagar Polytex Ltd,VIVIDHA,Visagar Polytex Ltd,Active,B ,1.0,INE370E01029,Equity,,,,,
,,,,,,,512,506161,Ishwarshakti Holdings & Traders Ltd,ISHWATR,Ishwarshakti Holdings & Traders Ltd,Active,XT,10.0,INE073I01012,Equity,,,,,
,,,,,,,513,506162,Terraform Magnum Limited,TERRAFORM,Terraform Magnum Ltd,Active,P ,10.0,INE122V01010,Equity,,,,,
,,,,,,,514,506166,Apis India Ltd,APIS,Apis India Ltd,Active,XT,10.0,INE070K01014,Equity,,,,,
,,,,,,,515,506178,Velox Shipping and Logistics Limited,VELOX,Velox Shipping and Logistics Ltd,Active,XT,10.0,INE092P01017,Equity,,,,,
,,,,,,,516,506180,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,EMERGENT,Emergent Industrial Solutions Ltd,Active,XT,10.0,INE668L01013,Equity,,,,,
,,,,,,,517,506184,Kanani Industries Ltd,KANANIIND,Kanani Industries Ltd,Active,B ,1.0,INE879E01037,Equity,,,,,
,,,,,,,518,506186,GALAXY CLOUD KITCHENS LIMITED,GCKL,Galaxy Cloud Kitchens Ltd-$,Active,X ,10.0,INE403B01016,Equity,,,,,
,,,,,,,519,506190,Sarvamangal Mercantile Co. Ltd.,ZSARVAMA,Sarvamangal Mercantile Company Ltd ,Active,XT,10.0,INE978L01016,Equity,,,,,
,,,,,,,520,506194,Arihant Superstructures Limited,ARIHANTSUP,Arihant Superstructures Ltd,Active,B ,10.0,INE643K01018,Equity,,,,,
,,,,,,,521,506197,Bliss GVS Pharma Limited,BLISSGVS,Bliss GVS Pharma Ltd,Active,B ,1.0,INE416D01022,Equity,,,,,
,,,,,,,522,506222,Styrenix Performance Materials Limited,STYRENIX,Styrenix Performance Materials Ltd,Active,A ,10.0,INE189B01011,Equity,,,,,
,,,,,,,523,506235,Alembic  Ltd,ALEMBICLTD,Alembic Ltd,Active,B ,2.0,INE426A01027,Equity,,,,,
,,,,,,,524,506248,Amines & Plasticizers Ltd,AMNPLST,Amines & Plasticizers Ltd,Active,B ,2.0,INE275D01022,Equity,,,,,
,,,,,,,525,506260,Anuh Pharma Ltd.,ANUHPHR,Anuh Pharma Ltd,Active,B ,5.0,INE489G01022,Equity,,,,,
,,,,,,,526,506261,MODISON LIMITED,MODISONLTD,Modison Ltd-$,Active,B ,1.0,INE737D01021,Equity,,,,,
,,,,,,,527,506285,Bayer CropScience Limited.,BAYERCROP,Bayer CropScience Ltd,Active,A ,10.0,INE462A01022,Equity,,,,,
,,,,,,,528,506313,Sashwat Technocrats Limited,SASHWAT,Sashwat Technocrats Ltd,Active,P ,10.0,INE789D01014,Equity,,,,,
,,,,,,,529,506365,STARSOURCE MULTITRADE LIMITED,STARSOURCE,Star Source Multi Trade Ltd,Active,XT,10.0,INE320M01019,Equity,,,,,
,,,,,,,530,506390,Sudarshan Colorants India Limited,SUDARCOLOR,Sudarshan Colorants India Ltd,Active,B ,10.0,INE492A01029,Equity,,,,,
,,,,,,,531,506395,Coromandel International Limited,COROMANDEL,Coromandel International Ltd,Active,A ,1.0,INE169A01031,Equity,,,,,
,,,,,,,532,506401,Deepak Nitrite Limited,DEEPAKNTR,Deepak Nitrite Ltd-$,Active,A ,2.0,INE288B01029,Equity,,,,,
,,,,,,,533,506405,DMCC SPECIALITY CHEMICALS LIMITED,DMCC,DMCC Speciality Chemicals Ltd,Active,B ,10.0,INE505A01010,Equity,,,,,
,,,,,,,534,506414,FERMENTA BIOTECH LIMITED,FERMENTA,Fermenta Biotech Ltd,Active,X ,5.0,INE225B01021,Equity,,,,,
,,,,,,,535,506480,GOCL Corporation Limited,GOCLCORP,GOCL Corporation Ltd-$,Active,B ,2.0,INE077F01035,Equity,,,,,
,,,,,,,536,506520,Jayshree Chemicals Ltd.,JAYCH,Jayshree Chemicals Ltd,Active,X ,10.0,INE693E01016,Equity,,,,,
,,,,,,,537,506525,Kanoria Chemicals & Industries Ltd.,KANORICHEM,Kanoria Chemicals & Industries Ltd,Active,B ,5.0,INE138C01024,Equity,,,,,
,,,,,,,538,506528,Keltech Energies Ltd.,KELENRG,KELTECH Energies Ltd,Active,X ,10.0,INE881E01017,Equity,,,,,
,,,,,,,539,506530,Kemp & Company Limited,KEMP,Kemp & Company Ltd,Active,X ,10.0,INE060E01018,Equity,,,,,
,,,,,,,540,506532,Nitta Gelatin India Ltd,NITTAGELA,Nitta Gelatin India Ltd-$,Active,X ,10.0,INE265B01019,Equity,,,,,
,,,,,,,541,506543,M.P. Agro Industries Ltd.,MPAGI,MP Agro Industries Ltd,Active,X ,10.0,INE468C01017,Equity,,,,,
,,,,,,,542,506579,AG VENTURES LIMITED,AGVENTURES,AG Ventures Ltd-$,Active,B ,10.0,INE321D01016,Equity,,,,,
,,,,,,,543,506580,PB Global Limited,PBGLOBAL,PB Global Ltd,Active,XT,10.0,INE615W01011,Equity,,,,,
,,,,,,,544,506590,PCBL Chemical Limited,PCBL,PCBL Chemical Ltd,Active,A ,1.0,INE602A01031,Equity,,,,,
,,,,,,,545,506597,Amal Ltd,AMAL,Amal Ltd,Active,X ,10.0,INE841D01013,Equity,,,,,
,,,,,,,546,506605,Polychem Ltd,POLYCHEM,Polychem Ltd,Active,X ,10.0,INE752B01024,Equity,,,,,
,,,,,,,547,506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd-$,Active,B ,10.0,INE277B01014,Equity,,,,,
,,,,,,,548,506640,ZR2 BIOENERGY LIMITED,ZR2,ZR2 Bioenergy Ltd,Active,X ,1.0,INE218N01021,Equity,,,,,
